Date,Value
1975-01-31,34.371829803
1975-02-28,34.880945462
1975-03-31,35.402216588
1975-04-30,35.944702721
1975-05-31,36.535272046
1975-06-30,37.165796702
1975-07-31,37.795450362
1975-08-31,38.369702254
1975-09-30,38.870586488
1975-10-31,39.326955427
1975-11-30,39.737258678
1975-12-31,40.082873599
1976-01-31,40.363154019
1976-02-29,40.596136431
1976-03-31,40.805884913
1976-04-30,41.002975377
1976-05-31,41.187714945
1976-06-30,41.362366775
1976-07-31,41.521684864
1976-08-31,41.662983399
1976-09-30,41.845067036
1976-10-31,42.124701152
1976-11-30,42.492788681
1976-12-31,42.921261942
1977-01-31,43.36581233
1977-02-28,43.773119303
1977-03-31,44.099249377
1977-04-30,44.345888344
1977-05-31,44.556380869
1977-06-30,44.760697323
1977-07-31,44.975505777
1977-08-31,45.194702194
1977-09-30,45.406195009
1977-10-31,45.627958059
1977-11-30,45.895233331
1977-12-31,46.226933789
1978-01-31,46.611211642
1978-02-28,47.067063055
1978-03-31,47.63082812
1978-04-30,48.269099686
1978-05-31,48.91624252
1978-06-30,49.489345592
1978-07-31,49.900921713
1978-08-31,50.147563812
1978-09-30,50.334318759
1978-10-31,50.590008424
1978-11-30,50.985857855
1978-12-31,51.535688399
1979-01-31,52.209893717
1979-02-28,53.009222501
1979-03-31,53.970472076
1979-04-30,55.022775073
1979-05-31,55.927513324
1979-06-30,56.438490662
1979-07-31,56.523289939
1979-08-31,56.328630897
1979-09-30,56.031471509
1979-10-31,55.776087873
1979-11-30,55.632457512
1979-12-31,55.594401717
1980-01-31,55.597124733
1980-02-29,55.560329276
1980-03-31,55.433924037
1980-04-30,55.236819798
1980-05-31,55.036538927
1980-06-30,54.904762564
1980-07-31,54.896877783
1980-08-31,55.054778113
1980-09-30,55.406775757
1980-10-31,55.946412741
1980-11-30,56.647677703
1980-12-31,57.48633849
1981-01-31,58.437021713
1981-02-28,59.468489111
1981-03-31,60.554797577
1981-04-30,61.68308377
1981-05-31,62.840199715
1981-06-30,64.021086344
1981-07-31,65.238660466
1981-08-31,66.492924528
1981-09-30,67.762882817
1981-10-31,69.02059618
1981-11-30,70.230364169
1981-12-31,71.357222073
1982-01-31,72.37429746
1982-02-28,73.271508299
1982-03-31,74.068161054
1982-04-30,74.797228262
1982-05-31,75.464512788
1982-06-30,76.031582457
1982-07-31,76.454338786
1982-08-31,76.735442578
1982-09-30,76.942194552
1982-10-31,77.18209304
1982-11-30,77.541184478
1982-12-31,78.04988952
1983-01-31,78.700464772
1983-02-28,79.474541023
1983-03-31,80.347095345
1983-04-30,81.290604716
1983-05-31,82.277971818
1983-06-30,83.225488935
1983-07-31,84.016317411
1983-08-31,84.610775828
1983-09-30,85.029167142
1983-10-31,85.288256882
1983-11-30,85.385095022
1983-12-31,85.337066891
1984-01-31,85.173668323
1984-02-29,84.93652572
1984-03-31,84.757851798
1984-04-30,84.839853922
1984-05-31,85.21919449
1984-06-30,85.668275075
1984-07-31,85.994390181
1984-08-31,86.211616484
1984-09-30,86.303658014
1984-10-31,86.089373844
1984-11-30,85.479311497
1984-12-31,84.608550776
1985-01-31,83.757392674
1985-02-28,83.187585889
1985-03-31,82.99675563
1985-04-30,83.150673422
1985-05-31,83.451753303
1985-06-30,83.512056039
1985-07-31,83.027207344
1985-08-31,82.120442433
1985-09-30,81.179301168
1985-10-31,80.507611254
1985-11-30,80.186340875
1985-12-31,80.070586395
1986-01-31,80.057489401
1986-02-28,80.132682176
1986-03-31,80.262711874
1986-04-30,80.441638792
1986-05-31,80.583898918
1986-06-30,80.416121237
1986-07-31,79.746383836
1986-08-31,78.797757941
1986-09-30,77.875220752
1986-10-31,77.133401025
1986-11-30,76.576762995
1986-12-31,75.956009505
1987-01-31,75.069453517
1987-02-28,73.896765383
1987-03-31,72.45599091
1987-04-30,70.815230435
1987-05-31,69.090582428
1987-06-30,67.434403133
1987-07-31,65.957343906
1987-08-31,64.633451534
1987-09-30,63.401670941
1987-10-31,62.341227867
1987-11-30,61.687479228
1987-12-31,61.718772056
1988-01-31,62.538028547
1988-02-29,63.931008881
1988-03-31,65.28457098
1988-04-30,66.055851847
1988-05-31,66.566877201
1988-06-30,67.381582733
1988-07-31,68.542987618
1988-08-31,69.916160767
1988-09-30,71.514278141
1988-10-31,73.164050146
1988-11-30,74.251377008
1988-12-31,74.153164409
1989-01-31,72.516172769
1989-02-28,69.430806723
1989-03-31,65.611267877
1989-04-30,62.211389783
1989-05-31,60.033893322
1989-06-30,58.927418026
1989-07-31,58.287527412
1989-08-31,57.779550688
1989-09-30,57.311858722
1989-10-31,56.832539618
1989-11-30,56.362796989
1989-12-31,56.043809072
1990-01-31,56.073859264
1990-02-28,56.679171471
1990-03-31,58.073968569
1990-04-30,60.366362559
1990-05-31,63.365878727
1990-06-30,66.393339926
1990-07-31,68.62650225
1990-08-31,69.669213525
1990-09-30,69.763823049
1990-10-31,69.41116793
1990-11-30,68.96712995
1990-12-31,68.701070319
1991-01-31,68.794130934
1991-02-28,69.1595544
1991-03-31,69.68026283
1991-04-30,70.393520407
1991-05-31,71.275068104
1991-06-30,72.201241974
1991-07-31,72.976618651
1991-08-31,73.388971141
1991-09-30,73.378315019
1991-10-31,73.121478134
1991-11-30,72.893202557
1991-12-31,72.896526324
1992-01-31,73.201805233
1992-02-29,73.733593114
1992-03-31,74.356695097
1992-04-30,74.888866902
1992-05-31,75.199642755
1992-06-30,75.378323
1992-07-31,75.531108552
1992-08-31,75.574466522
1992-09-30,75.456386728
1992-10-31,75.294418561
1992-11-30,75.18207917
1992-12-31,75.144776961
1993-01-31,75.203350354
1993-02-28,75.31694305
1993-03-31,75.486727953
1993-04-30,75.795681504
1993-05-31,76.290704001
1993-06-30,76.960832563
1993-07-31,77.686692497
1993-08-31,78.280301472
1993-09-30,78.613144228
1993-10-31,78.706273873
1993-11-30,78.679429687
1993-12-31,78.684065067
1994-01-31,78.89295829
1994-02-28,79.447137721
1994-03-31,80.240709475
1994-04-30,81.004148713
1994-05-31,81.610799641
1994-06-30,82.134588661
1994-07-31,82.497483939
1994-08-31,82.44489109
1994-09-30,82.110295467
1994-10-31,81.83313061
1994-11-30,81.825536883
1994-12-31,82.119684356
1995-01-31,82.588504523
1995-02-28,83.088381356
1995-03-31,83.564148094
1995-04-30,84.046446005
1995-05-31,84.474798765
1995-06-30,84.803365576
1995-07-31,85.029184802
1995-08-31,85.093132576
1995-09-30,85.002522896
1995-10-31,84.856935655
1995-11-30,84.796996046
1995-12-31,84.898865041
1996-01-31,85.148128388
1996-02-29,85.550925228
1996-03-31,86.118955059
1996-04-30,86.772111496
1996-05-31,87.405699167
1996-06-30,87.931544527
1996-07-31,88.235237904
1996-08-31,88.279309066
1996-09-30,88.166824865
1996-10-31,88.096053433
1996-11-30,88.138851442
1996-12-31,88.265839733
1997-01-31,88.531429662
1997-02-28,88.957157633
1997-03-31,89.474568327
1997-04-30,89.965779243
1997-05-31,90.335678683
1997-06-30,90.505025169
1997-07-31,90.557259731
1997-08-31,90.703363083
1997-09-30,91.005663903
1997-10-31,91.330159934
1997-11-30,91.497765065
1997-12-31,91.491287502
1998-01-31,91.452364767
1998-02-28,91.595986005
1998-03-31,92.028457218
1998-04-30,92.717347843
1998-05-31,93.484509141
1998-06-30,94.049628256
1998-07-31,94.266553785
1998-08-31,94.175841675
1998-09-30,93.947735103
1998-10-31,93.748592164
1998-11-30,93.599052175
1998-12-31,93.437771109
1999-01-31,93.38345178
