Date,Value
1975-01-31,35.695974723
1975-02-28,35.896769778
1975-03-31,36.133517682
1975-04-30,36.425723414
1975-05-31,36.695708208
1975-06-30,36.823712991
1975-07-31,36.747060385
1975-08-31,36.511772961
1975-09-30,36.255135944
1975-10-31,36.139293676
1975-11-30,36.24746352
1975-12-31,36.592162132
1976-01-31,37.138285042
1976-02-29,37.756436852
1976-03-31,38.276319431
1976-04-30,38.596134722
1976-05-31,38.740517151
1976-06-30,38.797231104
1976-07-31,38.856954979
1976-08-31,38.918701217
1976-09-30,38.958367525
1976-10-31,39.018757584
1976-11-30,39.159407504
1976-12-31,39.316048066
1977-01-31,39.393663789
1977-02-28,39.416713327
1977-03-31,39.450967435
1977-04-30,39.609240892
1977-05-31,39.921331167
1977-06-30,40.340456375
1977-07-31,40.848171673
1977-08-31,41.379151588
1977-09-30,41.879745785
1977-10-31,42.334960388
1977-11-30,42.658255377
1977-12-31,42.778395517
1978-01-31,42.779957866
1978-02-28,42.803358513
1978-03-31,42.984400599
1978-04-30,43.403429045
1978-05-31,43.94508165
1978-06-30,44.501789618
1978-07-31,45.127224861
1978-08-31,45.805464058
1978-09-30,46.380876979
1978-10-31,46.748239963
1978-11-30,46.996488506
1978-12-31,47.22352974
1979-01-31,47.437293109
1979-02-28,47.666990585
1979-03-31,47.956770288
1979-04-30,48.322774795
1979-05-31,48.756133479
1979-06-30,49.203609956
1979-07-31,49.588564212
1979-08-31,49.924735007
1979-09-30,50.204688332
1979-10-31,50.377322693
1979-11-30,50.469541083
1979-12-31,50.51296869
1980-01-31,50.544283218
1980-02-29,50.616511603
1980-03-31,50.720998986
1980-04-30,50.787162531
1980-05-31,50.861545191
1980-06-30,51.140138152
1980-07-31,51.684403608
1980-08-31,52.323260382
1980-09-30,52.769714892
1980-10-31,52.804915302
1980-11-30,52.433238225
1980-12-31,51.820168768
1981-01-31,51.161323055
1981-02-28,50.675583755
1981-03-31,50.543904806
1981-04-30,50.798577001
1981-05-31,51.361959711
1981-06-30,52.052977758
1981-07-31,52.700203221
1981-08-31,53.184945855
1981-09-30,53.375070896
1981-10-31,53.231240946
1981-11-30,52.845082696
1981-12-31,52.423205964
1982-01-31,52.193666846
1982-02-28,52.250271904
1982-03-31,52.479115656
1982-04-30,52.720900584
1982-05-31,52.936101607
1982-06-30,53.142581903
1982-07-31,53.310864056
1982-08-31,53.373824091
1982-09-30,53.383330907
1982-10-31,53.471668055
1982-11-30,53.656158091
1982-12-31,53.848287437
1983-01-31,53.996077397
1983-02-28,54.125962615
1983-03-31,54.268511922
1983-04-30,54.464385072
1983-05-31,54.750758565
1983-06-30,55.12020132
1983-07-31,55.54674559
1983-08-31,55.945793432
1983-09-30,56.236064022
1983-10-31,56.477093024
1983-11-30,56.798583389
1983-12-31,57.235458929
1984-01-31,57.688169095
1984-02-29,58.037246293
1984-03-31,58.305306715
1984-04-30,58.612646828
1984-05-31,58.942550647
1984-06-30,59.205596245
1984-07-31,59.320680751
1984-08-31,59.165370353
1984-09-30,58.702874475
1984-10-31,58.02613455
1984-11-30,57.355904993
1984-12-31,56.98347119
1985-01-31,57.323831652
1985-02-28,58.245434502
1985-03-31,59.004431091
1985-04-30,59.369717222
1985-05-31,59.678028339
1985-06-30,60.141133682
1985-07-31,60.60139905
1985-08-31,60.834296243
1985-09-30,60.838178372
1985-10-31,60.942515326
1985-11-30,61.217805029
1985-12-31,61.429029844
1986-01-31,61.549395629
1986-02-28,61.808011549
1986-03-31,62.326946641
1986-04-30,62.800032528
1986-05-31,62.978193575
1986-06-30,62.946301894
1986-07-31,63.235170591
1986-08-31,63.788116736
1986-09-30,64.031436043
1986-10-31,64.134048365
1986-11-30,64.345067593
1986-12-31,64.614194512
1987-01-31,64.845884414
1987-02-28,65.078707497
1987-03-31,65.371589994
1987-04-30,65.618512165
1987-05-31,65.779638244
1987-06-30,65.900617809
1987-07-31,65.96950309
1987-08-31,65.950118941
1987-09-30,65.798765641
1987-10-31,65.643251932
1987-11-30,65.650678622
1987-12-31,65.803441731
1988-01-31,66.052139672
1988-02-29,66.357904444
1988-03-31,66.700419599
1988-04-30,67.023843095
1988-05-31,67.371619573
1988-06-30,67.698677619
1988-07-31,67.750008587
1988-08-31,67.417487488
1988-09-30,66.918897364
1988-10-31,66.592203209
1988-11-30,66.513229013
1988-12-31,66.642894136
1989-01-31,66.924335338
1989-02-28,67.287239709
1989-03-31,67.70365679
1989-04-30,68.071260505
1989-05-31,68.282389757
1989-06-30,68.381427233
1989-07-31,68.535255313
1989-08-31,68.827976141
1989-09-30,69.14273152
